                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9403  
Method:         ,MLE             ,  Df Model:          ,    44  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,   nan  
Time:           ,18:43:19        ,  Log-Likelihood:    ,     nan
converged:      ,False           ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       ,   nan  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    2.3092,    0.266,    8.696, 0.000,    1.789,    2.830
intercept          ,   -8.9619,    0.671,  -13.360, 0.000,  -10.277,   -7.647
income*risk_dec    ,    0.0554,    0.010,    5.772, 0.000,    0.037,    0.074
income*frequency   ,   -0.5562,    0.144,   -3.871, 0.000,   -0.838,   -0.275
attention*risk_dec ,    0.0271,    0.004,    6.505, 0.000,    0.019,    0.035
attention*frequency,   -0.2931,    0.059,   -4.943, 0.000,   -0.409,   -0.177
retire*risk_dec    ,   -0.0061,    0.012,   -0.491, 0.624,   -0.030,    0.018
retire*frequency   ,   -0.0697,    0.172,   -0.406, 0.685,   -0.406,    0.267
work*risk_dec      ,    0.0434,    0.011,    4.093, 0.000,    0.023,    0.064
work*frequency     ,   -0.4093,    0.144,   -2.834, 0.005,   -0.692,   -0.126
edu                ,   -0.7224,    0.214,   -3.376, 0.001,   -1.142,   -0.303
edu*frequency      ,    0.1386,    0.071,    1.941, 0.052,   -0.001,    0.279
age*risk_dec       ,   -0.0016,    0.006,   -0.277, 0.782,   -0.013,    0.010
age*frequency      ,    0.0309,    0.079,    0.394, 0.694,   -0.123,    0.185
sex*pain           ,    0.5347, 1129.541,    0.000, 1.000,-2213.326, 2214.395
chronic*risk_dec   ,   -1.3615, 1161.602,   -0.001, 0.999,-2278.060, 2275.337
region             ,  -73.3998, 2093.971,   -0.035, 0.972,-4177.507, 4030.707
chronic*frequency  ,   -1.4832, 7711.555,   -0.000, 1.000,-1.51e+04, 1.51e+04
region*frequency   ,    0.2902,    0.118,    2.458, 0.014,    0.059,    0.522
hospital*risk_dec  ,    0.0018,    0.005,    0.346, 0.729,   -0.008,    0.012
chronic*pain       ,    2.0751, 1074.478,    0.002, 0.998,-2103.863, 2108.014
region*risk_dec    ,    1.8036,   52.349,    0.034, 0.973, -100.799,  104.406
check*frequency    ,    0.0210,    0.094,    0.222, 0.824,   -0.164,    0.206
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    5.6081,    0.448,   12.532, 0.000,    4.731,    6.485
intercept          ,  -40.5446,    3.146,  -12.888, 0.000,  -46.710,  -34.379
income*risk_dec    ,    0.4607,    0.042,   10.892, 0.000,    0.378,    0.544
income*frequency   ,   -3.5527,    0.369,   -9.619, 0.000,   -4.277,   -2.829
attention*risk_dec ,    0.0356,    0.005,    6.692, 0.000,    0.025,    0.046
attention*frequency,   -0.3780,    0.071,   -5.307, 0.000,   -0.518,   -0.238
retire*risk_dec    ,   -0.0065,    0.015,   -0.449, 0.653,   -0.035,    0.022
retire*frequency   ,   -0.2012,    0.194,   -1.038, 0.299,   -0.581,    0.179
work*risk_dec      ,    0.0646,    0.014,    4.782, 0.000,    0.038,    0.091
work*frequency     ,   -0.5888,    0.175,   -3.364, 0.001,   -0.932,   -0.246
edu                ,   -1.9905,    0.424,   -4.695, 0.000,   -2.821,   -1.160
edu*frequency      ,    0.3117,    0.092,    3.400, 0.001,    0.132,    0.491
age*risk_dec       ,    0.0001,    0.007,    0.018, 0.986,   -0.014,    0.015
age*frequency      ,    0.0415,    0.092,    0.450, 0.653,   -0.140,    0.223
sex*pain           ,    0.5495, 1129.541,    0.000, 1.000,-2213.311, 2214.410
chronic*risk_dec   ,   -1.8073, 1161.602,   -0.002, 0.999,-2278.505, 2274.891
region             , -920.3350, 6418.188,   -0.143, 0.886,-1.35e+04, 1.17e+04
chronic*frequency  ,   -1.7742, 7711.556,   -0.000, 1.000,-1.51e+04, 1.51e+04
region*frequency   ,   -1.2979,    9.976,   -0.130, 0.896,  -20.851,   18.255
hospital*risk_dec  ,   -0.0048,    0.007,   -0.696, 0.487,   -0.018,    0.009
chronic*pain       ,    2.4982, 1074.478,    0.002, 0.998,-2103.440, 2108.437
region*risk_dec    ,   13.3634,   96.593,    0.138, 0.890, -175.955,  202.681
check*frequency    ,    0.2288,    0.141,    1.619, 0.106,   -0.048,    0.506
