                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9413  
Method:         ,MLE             ,  Df Model:          ,    34  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.8171  
Time:           ,18:43:18        ,  Log-Likelihood:    , -1884.9
converged:      ,False           ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    3.2998,    0.213,   15.520, 0.000,    2.883,    3.717
intercept          ,  -12.1080,    0.541,  -22.361, 0.000,  -13.169,  -11.047
income*risk_dec    ,    0.0701,    0.007,    9.996, 0.000,    0.056,    0.084
income*frequency   ,   -0.7859,    0.103,   -7.608, 0.000,   -0.988,   -0.583
attention*risk_dec ,    0.0323,    0.003,   11.153, 0.000,    0.027,    0.038
attention*frequency,   -0.3558,    0.043,   -8.359, 0.000,   -0.439,   -0.272
retire*risk_dec    ,    0.0376,    0.009,    4.180, 0.000,    0.020,    0.055
retire*frequency   ,   -0.4878,    0.138,   -3.547, 0.000,   -0.757,   -0.218
work*risk_dec      ,    0.0707,    0.009,    8.176, 0.000,    0.054,    0.088
work*frequency     ,   -0.7159,    0.128,   -5.589, 0.000,   -0.967,   -0.465
edu                ,   -0.7468,    0.140,   -5.350, 0.000,   -1.020,   -0.473
edu*frequency      ,    0.1984,    0.045,    4.387, 0.000,    0.110,    0.287
age*risk_dec       ,    0.0106,    0.003,    3.897, 0.000,    0.005,    0.016
age*frequency      ,   -0.0927,    0.040,   -2.304, 0.021,   -0.172,   -0.014
sex*pain           ,    0.7833,  6.1e+04, 1.28e-05, 1.000, -1.2e+05,  1.2e+05
chronic*risk_dec   ,    0.0298,    0.006,    5.100, 0.000,    0.018,    0.041
region             ,   -0.4643,    0.152,   -3.045, 0.002,   -0.763,   -0.165
chronic*frequency  ,   -0.2375,    0.081,   -2.916, 0.004,   -0.397,   -0.078
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    5.3037,    0.232,   22.895, 0.000,    4.850,    5.758
intercept          ,  -30.5587,    0.915,  -33.400, 0.000,  -32.352,  -28.765
income*risk_dec    ,    0.2471,    0.011,   21.860, 0.000,    0.225,    0.269
income*frequency   ,   -2.1059,    0.126,  -16.691, 0.000,   -2.353,   -1.859
attention*risk_dec ,    0.0482,    0.003,   14.974, 0.000,    0.042,    0.055
attention*frequency,   -0.4895,    0.045,  -10.791, 0.000,   -0.578,   -0.401
retire*risk_dec    ,    0.0641,    0.010,    6.541, 0.000,    0.045,    0.083
retire*frequency   ,   -0.7957,    0.145,   -5.500, 0.000,   -1.079,   -0.512
work*risk_dec      ,    0.1055,    0.010,   11.077, 0.000,    0.087,    0.124
work*frequency     ,   -1.0297,    0.136,   -7.551, 0.000,   -1.297,   -0.762
edu                ,   -1.5580,    0.187,   -8.345, 0.000,   -1.924,   -1.192
edu*frequency      ,    0.3081,    0.049,    6.304, 0.000,    0.212,    0.404
age*risk_dec       ,    0.0154,    0.003,    4.958, 0.000,    0.009,    0.021
age*frequency      ,   -0.1324,    0.043,   -3.055, 0.002,   -0.217,   -0.047
sex*pain           ,    0.7992,  6.1e+04, 1.31e-05, 1.000, -1.2e+05,  1.2e+05
chronic*risk_dec   ,    0.0334,    0.007,    5.008, 0.000,    0.020,    0.046
region             ,   -0.8562,    0.192,   -4.451, 0.000,   -1.233,   -0.479
chronic*frequency  ,   -0.2913,    0.088,   -3.296, 0.001,   -0.464,   -0.118
