                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9405  
Method:         ,MLE             ,  Df Model:          ,    42  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,   nan  
Time:           ,18:43:19        ,  Log-Likelihood:    ,     nan
converged:      ,False           ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       ,   nan  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    2.3099,    0.265,    8.703, 0.000,    1.790,    2.830
intercept          ,   -8.9634,    0.671,  -13.366, 0.000,  -10.278,   -7.649
income*risk_dec    ,    0.0552,    0.010,    5.760, 0.000,    0.036,    0.074
income*frequency   ,   -0.5535,    0.143,   -3.875, 0.000,   -0.833,   -0.274
attention*risk_dec ,    0.0272,    0.004,    6.513, 0.000,    0.019,    0.035
attention*frequency,   -0.2934,    0.059,   -4.949, 0.000,   -0.410,   -0.177
retire*risk_dec    ,   -0.0062,    0.012,   -0.502, 0.616,   -0.030,    0.018
retire*frequency   ,   -0.0691,    0.172,   -0.403, 0.687,   -0.405,    0.267
work*risk_dec      ,    0.0435,    0.011,    4.112, 0.000,    0.023,    0.064
work*frequency     ,   -0.4094,    0.144,   -2.840, 0.005,   -0.692,   -0.127
edu                ,   -0.7218,    0.214,   -3.374, 0.001,   -1.141,   -0.302
edu*frequency      ,    0.1373,    0.071,    1.931, 0.053,   -0.002,    0.277
age*risk_dec       ,   -0.0015,    0.006,   -0.262, 0.794,   -0.013,    0.010
age*frequency      ,    0.0323,    0.078,    0.413, 0.680,   -0.121,    0.186
sex*pain           ,    0.6241, 1.63e+04, 3.83e-05, 1.000, -3.2e+04,  3.2e+04
chronic*risk_dec   ,   -1.4744, 2085.312,   -0.001, 0.999,-4088.611, 4085.662
region             ,  -45.1776,   61.661,   -0.733, 0.464, -166.030,   75.675
chronic*frequency  ,   -1.3741, 1.36e+04,   -0.000, 1.000,-2.67e+04, 2.67e+04
region*frequency   ,    0.2906,    0.118,    2.466, 0.014,    0.060,    0.522
hospital*risk_dec  ,    0.0021,    0.005,    0.405, 0.685,   -0.008,    0.012
chronic*pain       ,    2.3333, 3.83e+04, 6.09e-05, 1.000,-7.51e+04, 7.51e+04
region*risk_dec    ,    1.0981,    1.541,    0.712, 0.476,   -1.923,    4.119
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    5.6692,    0.453,   12.507, 0.000,    4.781,    6.558
intercept          ,  -40.8973,    3.215,  -12.721, 0.000,  -47.199,  -34.596
income*risk_dec    ,    0.4665,    0.043,   10.805, 0.000,    0.382,    0.551
income*frequency   ,   -3.6013,    0.375,   -9.598, 0.000,   -4.337,   -2.866
attention*risk_dec ,    0.0354,    0.005,    6.672, 0.000,    0.025,    0.046
attention*frequency,   -0.3806,    0.071,   -5.360, 0.000,   -0.520,   -0.241
retire*risk_dec    ,   -0.0062,    0.015,   -0.427, 0.669,   -0.035,    0.022
retire*frequency   ,   -0.1755,    0.193,   -0.908, 0.364,   -0.554,    0.203
work*risk_dec      ,    0.0656,    0.013,    4.864, 0.000,    0.039,    0.092
work*frequency     ,   -0.5841,    0.175,   -3.347, 0.001,   -0.926,   -0.242
edu                ,   -1.9746,    0.423,   -4.666, 0.000,   -2.804,   -1.145
edu*frequency      ,    0.3011,    0.091,    3.299, 0.001,    0.122,    0.480
age*risk_dec       , 3.968e-05,    0.007,    0.005, 0.996,   -0.014,    0.014
age*frequency      ,    0.0387,    0.092,    0.421, 0.674,   -0.142,    0.219
sex*pain           ,    0.6375, 1.63e+04, 3.91e-05, 1.000, -3.2e+04,  3.2e+04
chronic*risk_dec   ,   -1.9228, 2085.312,   -0.001, 0.999,-4089.059, 4085.214
region             , -808.7683, 5480.854,   -0.148, 0.883,-1.16e+04, 9933.508
chronic*frequency  ,   -1.5513, 1.36e+04,   -0.000, 1.000,-2.67e+04, 2.67e+04
region*frequency   ,    3.6879,   33.077,    0.111, 0.911,  -61.142,   68.518
hospital*risk_dec  ,   -0.0020,    0.007,   -0.300, 0.764,   -0.015,    0.011
chronic*pain       ,    2.7545, 3.83e+04, 7.19e-05, 1.000,-7.51e+04, 7.51e+04
region*risk_dec    ,   11.3930,   74.902,    0.152, 0.879, -135.413,  158.199
