                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9415  
Method:         ,MLE             ,  Df Model:          ,    32  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.8166  
Time:           ,18:43:18        ,  Log-Likelihood:    , -1890.3
converged:      ,False           ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    3.2543,    0.210,   15.520, 0.000,    2.843,    3.665
intercept          ,  -11.9905,    0.533,  -22.480, 0.000,  -13.036,  -10.945
income*risk_dec    ,    0.0683,    0.007,    9.926, 0.000,    0.055,    0.082
income*frequency   ,   -0.7608,    0.102,   -7.495, 0.000,   -0.960,   -0.562
attention*risk_dec ,    0.0324,    0.003,   11.275, 0.000,    0.027,    0.038
attention*frequency,   -0.3567,    0.042,   -8.463, 0.000,   -0.439,   -0.274
retire*risk_dec    ,    0.0415,    0.009,    4.659, 0.000,    0.024,    0.059
retire*frequency   ,   -0.5587,    0.135,   -4.145, 0.000,   -0.823,   -0.295
work*risk_dec      ,    0.0716,    0.009,    8.315, 0.000,    0.055,    0.089
work*frequency     ,   -0.7344,    0.127,   -5.782, 0.000,   -0.983,   -0.485
edu                ,   -0.7276,    0.139,   -5.250, 0.000,   -0.999,   -0.456
edu*frequency      ,    0.1888,    0.045,    4.153, 0.000,    0.100,    0.278
age*risk_dec       ,    0.0116,    0.003,    4.376, 0.000,    0.006,    0.017
age*frequency      ,   -0.1098,    0.039,   -2.835, 0.005,   -0.186,   -0.034
sex*pain           ,    0.7961,  6.1e+04,  1.3e-05, 1.000, -1.2e+05,  1.2e+05
chronic*risk_dec   ,    0.0169,    0.004,    4.540, 0.000,    0.010,    0.024
region             ,   -0.4564,    0.153,   -2.992, 0.003,   -0.755,   -0.157
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    5.2553,    0.229,   22.956, 0.000,    4.807,    5.704
intercept          ,  -30.4126,    0.909,  -33.442, 0.000,  -32.195,  -28.630
income*risk_dec    ,    0.2449,    0.011,   21.823, 0.000,    0.223,    0.267
income*frequency   ,   -2.0778,    0.125,  -16.658, 0.000,   -2.322,   -1.833
attention*risk_dec ,    0.0486,    0.003,   15.165, 0.000,    0.042,    0.055
attention*frequency,   -0.4925,    0.045,  -10.959, 0.000,   -0.581,   -0.404
retire*risk_dec    ,    0.0687,    0.010,    7.077, 0.000,    0.050,    0.088
retire*frequency   ,   -0.8757,    0.142,   -6.169, 0.000,   -1.154,   -0.597
work*risk_dec      ,    0.1067,    0.009,   11.245, 0.000,    0.088,    0.125
work*frequency     ,   -1.0515,    0.135,   -7.770, 0.000,   -1.317,   -0.786
edu                ,   -1.5501,    0.186,   -8.332, 0.000,   -1.915,   -1.186
edu*frequency      ,    0.2997,    0.049,    6.104, 0.000,    0.203,    0.396
age*risk_dec       ,    0.0169,    0.003,    5.563, 0.000,    0.011,    0.023
age*frequency      ,   -0.1548,    0.042,   -3.702, 0.000,   -0.237,   -0.073
sex*pain           ,    0.8120,  6.1e+04, 1.33e-05, 1.000, -1.2e+05,  1.2e+05
chronic*risk_dec   ,    0.0162,    0.004,    3.961, 0.000,    0.008,    0.024
region             ,   -0.8459,    0.192,   -4.397, 0.000,   -1.223,   -0.469
