                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9401  
Method:         ,MLE             ,  Df Model:          ,    46  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.3670  
Time:           ,18:43:19        ,  Log-Likelihood:    , -6524.3
converged:      ,False           ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    2.2987,    0.265,    8.677, 0.000,    1.779,    2.818
intercept          ,   -8.9529,    0.669,  -13.388, 0.000,  -10.264,   -7.642
income*risk_dec    ,    0.0557,    0.010,    5.826, 0.000,    0.037,    0.074
income*frequency   ,   -0.5513,    0.141,   -3.906, 0.000,   -0.828,   -0.275
attention*risk_dec ,    0.0269,    0.004,    6.488, 0.000,    0.019,    0.035
attention*frequency,   -0.2891,    0.059,   -4.893, 0.000,   -0.405,   -0.173
retire*risk_dec    ,   -0.0068,    0.012,   -0.546, 0.585,   -0.031,    0.018
retire*frequency   ,   -0.0590,    0.172,   -0.343, 0.731,   -0.396,    0.278
work*risk_dec      ,    0.0434,    0.011,    4.089, 0.000,    0.023,    0.064
work*frequency     ,   -0.4134,    0.144,   -2.872, 0.004,   -0.696,   -0.131
edu                ,   -0.7033,    0.215,   -3.271, 0.001,   -1.125,   -0.282
edu*frequency      ,    0.1329,    0.071,    1.862, 0.063,   -0.007,    0.273
age*risk_dec       ,   -0.0024,    0.006,   -0.420, 0.675,   -0.014,    0.009
age*frequency      ,    0.0352,    0.077,    0.460, 0.645,   -0.115,    0.185
sex*pain           ,    0.4787,  204.595,    0.002, 0.998, -400.521,  401.478
chronic*risk_dec   ,   -0.9024,  102.629,   -0.009, 0.993, -202.052,  200.247
region             ,  -56.2721,  236.133,   -0.238, 0.812, -519.085,  406.541
chronic*frequency  ,   -1.3084,  605.059,   -0.002, 0.998,-1187.202, 1184.585
region*frequency   ,    0.3066,    0.120,    2.555, 0.011,    0.071,    0.542
hospital*risk_dec  ,    0.0011,    0.005,    0.209, 0.834,   -0.009,    0.011
chronic*pain       ,    1.4417,  101.618,    0.014, 0.989, -197.726,  200.609
region*risk_dec    ,    1.3739,    5.903,    0.233, 0.816,  -10.196,   12.944
check*frequency    ,   -0.0987,    0.158,   -0.624, 0.533,   -0.409,    0.211
check*risk_dec     ,    0.0117,    0.013,    0.915, 0.360,   -0.013,    0.037
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    5.6012,    0.448,   12.495, 0.000,    4.723,    6.480
intercept          ,  -40.5437,    3.139,  -12.918, 0.000,  -46.695,  -34.392
income*risk_dec    ,    0.4603,    0.042,   10.904, 0.000,    0.378,    0.543
income*frequency   ,   -3.5443,    0.370,   -9.588, 0.000,   -4.269,   -2.820
attention*risk_dec ,    0.0356,    0.005,    6.692, 0.000,    0.025,    0.046
attention*frequency,   -0.3755,    0.071,   -5.274, 0.000,   -0.515,   -0.236
retire*risk_dec    ,   -0.0080,    0.015,   -0.542, 0.588,   -0.037,    0.021
retire*frequency   ,   -0.1839,    0.195,   -0.944, 0.345,   -0.566,    0.198
work*risk_dec      ,    0.0637,    0.014,    4.678, 0.000,    0.037,    0.090
work*frequency     ,   -0.5852,    0.175,   -3.337, 0.001,   -0.929,   -0.241
edu                ,   -1.9445,    0.427,   -4.556, 0.000,   -2.781,   -1.108
edu*frequency      ,    0.3019,    0.092,    3.276, 0.001,    0.121,    0.482
age*risk_dec       ,   -0.0006,    0.007,   -0.081, 0.936,   -0.015,    0.014
age*frequency      ,    0.0450,    0.091,    0.495, 0.620,   -0.133,    0.223
sex*pain           ,    0.4937,  204.595,    0.002, 0.998, -400.506,  401.493
chronic*risk_dec   ,   -1.3511,  102.629,   -0.013, 0.989, -202.501,  199.798
region             , -629.3239,  607.707,   -1.036, 0.300,-1820.408,  561.760
chronic*frequency  ,   -1.5602,  605.059,   -0.003, 0.998,-1187.454, 1184.334
region*frequency   ,    7.6093,    8.046,    0.946, 0.344,   -8.160,   23.379
hospital*risk_dec  ,   -0.0057,    0.007,   -0.819, 0.413,   -0.019,    0.008
chronic*pain       ,    1.8644,  101.618,    0.018, 0.985, -197.303,  201.032
region*risk_dec    ,    8.9659,    9.643,    0.930, 0.352,   -9.935,   27.866
check*frequency    ,    0.0294,    0.235,    0.125, 0.900,   -0.431,    0.489
check*risk_dec     ,    0.0194,    0.018,    1.052, 0.293,   -0.017,    0.056
