                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9437  
Method:         ,MLE             ,  Df Model:          ,    10  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.2397  
Time:           ,16:54:30        ,  Log-Likelihood:    , -7836.4
converged:      ,True            ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
 choice=1,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency,    0.7367,    0.018,   41.044, 0.000,    0.702,    0.772
intercept,   -1.4648,    0.132,  -11.111, 0.000,   -1.723,   -1.206
income   ,   -0.5767,    0.108,   -5.344, 0.000,   -0.788,   -0.365
sex      ,   -0.3180,    0.065,   -4.863, 0.000,   -0.446,   -0.190
edu      ,    0.0888,    0.042,    2.115, 0.034,    0.006,    0.171
work     ,   -0.2638,    0.068,   -3.908, 0.000,   -0.396,   -0.132
-------------------------------------------------------------------
 choice=2,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency,    0.7876,    0.018,   43.742, 0.000,    0.752,    0.823
intercept,   -3.1014,    0.124,  -25.042, 0.000,   -3.344,   -2.859
income   ,    0.6040,    0.092,    6.556, 0.000,    0.423,    0.785
sex      ,   -0.1937,    0.065,   -2.969, 0.003,   -0.322,   -0.066
edu      ,    0.2166,    0.041,    5.291, 0.000,    0.136,    0.297
work     ,   -0.2110,    0.067,   -3.160, 0.002,   -0.342,   -0.080
