                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9409  
Method:         ,MLE             ,  Df Model:          ,    38  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.8179  
Time:           ,18:43:18        ,  Log-Likelihood:    , -1876.4
converged:      ,False           ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    3.2190,    0.215,   14.986, 0.000,    2.798,    3.640
intercept          ,  -11.9281,    0.547,  -21.815, 0.000,  -13.000,  -10.856
income*risk_dec    ,    0.0719,    0.007,   10.093, 0.000,    0.058,    0.086
income*frequency   ,   -0.8264,    0.106,   -7.803, 0.000,   -1.034,   -0.619
attention*risk_dec ,    0.0321,    0.003,   11.098, 0.000,    0.026,    0.038
attention*frequency,   -0.3541,    0.043,   -8.329, 0.000,   -0.437,   -0.271
retire*risk_dec    ,    0.0376,    0.009,    4.225, 0.000,    0.020,    0.055
retire*frequency   ,   -0.5032,    0.138,   -3.650, 0.000,   -0.773,   -0.233
work*risk_dec      ,    0.0742,    0.009,    8.435, 0.000,    0.057,    0.091
work*frequency     ,   -0.7751,    0.132,   -5.866, 0.000,   -1.034,   -0.516
edu                ,   -0.7895,    0.141,   -5.590, 0.000,   -1.066,   -0.513
edu*frequency      ,    0.2072,    0.046,    4.505, 0.000,    0.117,    0.297
age*risk_dec       ,    0.0101,    0.003,    3.656, 0.000,    0.005,    0.016
age*frequency      ,   -0.0916,    0.041,   -2.215, 0.027,   -0.173,   -0.011
sex*pain           ,    0.5394, 1293.360,    0.000, 1.000,-2534.399, 2535.478
chronic*risk_dec   ,    0.0254,    0.006,    4.087, 0.000,    0.013,    0.038
region             ,   -0.9370,    0.252,   -3.723, 0.000,   -1.430,   -0.444
chronic*frequency  ,   -0.2199,    0.083,   -2.660, 0.008,   -0.382,   -0.058
region*frequency   ,    0.2040,    0.085,    2.406, 0.016,    0.038,    0.370
hospital*risk_dec  ,    0.0075,    0.004,    1.962, 0.050, 6.57e-06,    0.015
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    5.1915,    0.234,   22.186, 0.000,    4.733,    5.650
intercept          ,  -30.2048,    0.923,  -32.734, 0.000,  -32.013,  -28.396
income*risk_dec    ,    0.2493,    0.011,   21.849, 0.000,    0.227,    0.272
income*frequency   ,   -2.1520,    0.129,  -16.739, 0.000,   -2.404,   -1.900
attention*risk_dec ,    0.0477,    0.003,   14.784, 0.000,    0.041,    0.054
attention*frequency,   -0.4850,    0.045,  -10.695, 0.000,   -0.574,   -0.396
retire*risk_dec    ,    0.0655,    0.010,    6.719, 0.000,    0.046,    0.085
retire*frequency   ,   -0.8291,    0.145,   -5.709, 0.000,   -1.114,   -0.545
work*risk_dec      ,    0.1106,    0.010,   11.410, 0.000,    0.092,    0.130
work*frequency     ,   -1.1104,    0.141,   -7.903, 0.000,   -1.386,   -0.835
edu                ,   -1.5776,    0.189,   -8.367, 0.000,   -1.947,   -1.208
edu*frequency      ,    0.3103,    0.050,    6.247, 0.000,    0.213,    0.408
age*risk_dec       ,    0.0149,    0.003,    4.732, 0.000,    0.009,    0.021
age*frequency      ,   -0.1332,    0.044,   -3.002, 0.003,   -0.220,   -0.046
sex*pain           ,    0.5552, 1293.360,    0.000, 1.000,-2534.384, 2535.494
chronic*risk_dec   ,    0.0273,    0.007,    3.877, 0.000,    0.014,    0.041
region             ,   -1.7439,    0.330,   -5.287, 0.000,   -2.390,   -1.097
chronic*frequency  ,   -0.2664,    0.090,   -2.974, 0.003,   -0.442,   -0.091
region*frequency   ,    0.2807,    0.091,    3.088, 0.002,    0.103,    0.459
hospital*risk_dec  ,    0.0100,    0.004,    2.384, 0.017,    0.002,    0.018
